"n_points","one_area","lon","lat"
743,"CPV",23.25700383,-17.92034393
2,"CRL",146.71147816,7.21239488
13,"CRZ",51.61850122,-46.34319821
5668,"CTA",116.20082567,52.8406914
208,"CTM",-176.50297373,-43.95966231
11595,"CUB",-79.03522543,21.6201256
89,"CYP",33.21867825,35.04300313
23168,"CZE",16.90966574,49.35117627
1583,"DEL",-75.51281006,38.99814067
66265,"DEN",10.05081371,55.96231825
41,"DJI",42.57794604,11.7498223
1752,"DOM",-70.48543965,18.89309066
6814,"EAI",26.7956822,37.77924815
27,"EAS",-109.31588061,-27.11727497
142554,"ECU",-78.39320695,-1.45291002
622,"EGY",29.5313701,26.35781079
1211,"EHM",92.91094723,27.79711548
3920,"ELS",-88.86559446,13.73614153
3860,"EQG",10.47599001,1.56792182
177,"ERI",38.85291013,15.35884128
15434,"ETH",39.6160194,8.62614058
107,"FAL",-59.37234604,-51.7398244
871,"FIJ",160.79163691,-17.46392685
88550,"FIN",26.2588367,64.49433632
39999,"FLA",-82.48405094,28.65142195
19,"FOR",-6.86363602,62.050314
21860,"FRA",2.44973015,46.63235293
20642,"FRG",-53.24126852,3.92438285
47051,"GAB",11.7971526,-0.59067563
823,"GAL",-90.89331316,-0.56223084
5,"GAM",-15.38562696,13.4529394
6919,"GEO",-83.4466779,32.65409017
28343,"GER",10.39233019,51.11015179
8,"GGI",7.97624414,2.36940554
11691,"GHA",-1.20705013,7.9596393
1,"GIL",174.32170363,-0.07562792
255,"GNB",-14.98748338,12.01619646
1701,"GNL",-41.39096492,74.71896347
3201,"GRB",-2.66771255,54.1326318
137899,"GRC",22.67457493,39.36723827
78,"GST",53.87451176,24.12052144
15036,"GUA",-90.35694443,15.70230638
3906,"GUI",-10.94184026,10.43853956
46891,"GUY",-58.97416751,4.7923797
786,"HAI",-72.68384348,18.93893862
4474,"HAW",-156.38217405,20.27443257
16957,"HON",-86.6201546,14.81592873
378,"HUN",19.41351505,47.16651731
7505,"ICE",-18.60571912,64.99764841
28533,"IDA",-114.65392691,44.39671877
16784,"ILL",-89.15471894,40.12111514
2791,"IND",78.38500961,21.72683562
7075,"INI",-86.28535884,39.91382309
3743,"IOW",-93.49640075,42.07863115
74,"IRE",-7.89657049,53.42679385
2052,"IRK",106.35844182,57.09665492
4573,"IRN",54.30142285,32.56479713
