"wcvp_name","gbif_name"
"Galatella albanica","Galatella albanica Degen"
"Galatella altaica","Galatella altaica Tzvelev"
"Galatella amani","Galatella amani (Post) Grierson Grierson (Post)"
"Galatella anatolica","Galatella anatolica Hamzaoglu & Budak"
"Galatella angustissima","Galatella angustissima (Tausch) Novopokr. Novopokr. (Tausch)"
"Galatella aragonensis","Galatella aragonensis Nees"
"Galatella bectauatensis","Galatella bectauatensis Kupr. & Koroljuk"
"Galatella biflora","Galatella biflora (L.) Nees Nees (L.)"
"Galatella cana","Galatella cana (Waldst. & Kit.) Nees Nees (Waldst. & Kit.)"
"Galatella chromopappa","Galatella chromopappa Novopokr."
"Galatella chulbairica","Galatella chulbairica Tulyag."
"Galatella coriacea","Galatella coriacea Novopokr."
"Galatella cretica","Galatella cretica Gand."
"Galatella crinitoides","Galatella crinitoides Novopokr."
"Galatella dahurica","Galatella dahurica DC."
"Galatella divaricata","Galatella divaricata (Fisch. ex M.Bieb.) Novopokr. Novopokr. (Fisch. ex M.Bieb.)"
"Galatella fastigiiformis","Galatella fastigiiformis Novopokr."
"Galatella hauptii","Galatella hauptii (Ledeb.) Lindl. ex Lindl., 1836 Lindl. ex Lindl., 1836 (Ledeb.)"
"Galatella hissarica","Galatella hissarica Novopokr."
"Galatella linosyris","Galatella linosyris (L.) Rchb.fil. Rchb.fil. (L.)"
"Galatella linosyris subsp. linosyris","Galatella linosyris subsp. linosyris"
"Galatella linosyris subsp. armoricana","Galatella linosyris subsp. armoricana (Rouy) Greuter Greuter (Rouy)"
"Galatella linosyris subsp. fominii","Galatella linosyris subsp. fominii (Kem.-Nath.) Greuter Greuter (Kem.-Nath.)"
"Galatella litvinovii","Galatella litvinovii Novopokr."
"Galatella malacitana","Galatella malacitana Blanca, Gavira & Suár.-Sant."
"Galatella polygaloides","Galatella polygaloides Novopokr."
"Galatella linosyris subsp. pontica","Galatella linosyris subsp. pontica (Lipsky) Novopokr. & Bogdan, 1935 Novopokr. & Bogdan, 1935 (Lipsky)"
"Galatella regelii","Galatella regelii Tzvelev"
"Galatella saxatilis","Galatella saxatilis Novopokr."
"Galatella scoparia","Galatella scoparia (Kar. & Kir.) Novopokr. Novopokr. (Kar. & Kir.)"
"Galatella sedifolia","Galatella sedifolia (L.) Greuter Greuter (L.)"
"Galatella sedifolia subsp. sedifolia","Galatella sedifolia subsp. sedifolia"
"Galatella tatarica","Galatella tatarica Nyman"
"Galatella sedifolia subsp. dracunculoides","Galatella sedifolia subsp. dracunculoides (Lam.) Greuter Greuter (Lam.)"
"Galatella sedifolia subsp. illyrica","Galatella sedifolia subsp. illyrica (Murb.) Greuter Greuter (Murb.)"
"Galatella sedifolia subsp. rigida","Galatella sedifolia subsp. rigida (Cass.) Greuter Greuter (Cass.)"
"Galatella tianschanica","Galatella tianschanica Novopokr."
"Galatella villosa","Galatella villosa (L.) Rchb.fil. Rchb.fil. (L.)"
"Galatella villosula","Galatella villosula Novopokr."
"Galatella × sublinosyris","Galatella ×sublinosyris Tzvelev"
"Galatella × subtatarica","Galatella ×subtatarica Tzvelev"
"Galatella × subvillosa","Galatella ×subvillosa Tzvelev"
"Galatella × tzvelevii","Galatella ×tzvelevii Vasjukov & Saksonov"
"Galatella","Galatella Cass."
